iter kd skd kf skf gamma sgamma sigma_error1 sigma_error2 sigma_error3 sigma_error4 L
6.900000000000000000e+01 3.585882098568615598e-04 4.672044850457578391e-05 3.967143450638930375e-05 2.499248844078790454e-06 6.017431809589540541e-05 4.260314967090338898e-06 7.138344422750869001e+00 8.940862756116763066e+00 7.025728861985968798e+00 5.969670662355567536e+00 -1.705519819224123239e+03
7.000000000000000000e+01 3.616021571888893308e-04 4.831663522709262983e-05 3.911290167862401922e-05 2.464052339873319615e-06 6.128681118971451695e-05 4.362444899500517985e-06 7.098756457612325654e+00 9.032249930068386945e+00 6.905255396345434171e+00 5.874330989373161671e+00 -1.703070816077871996e+03
7.100000000000000000e+01 3.955332986577123804e-04 4.591590645706549205e-05 4.163840334491473587e-05 2.354001024865772854e-06 6.432361630027229110e-05 4.629845067592293951e-06 7.077880321617576520e+00 9.327421860595599412e+00 6.722348267516267128e+00 6.059046760824263522e+00 -1.704787979096431627e+03
7.200000000000000000e+01 4.274922817516997901e-04 5.168023854560372087e-05 4.616105710050799095e-05 2.195641892537830472e-06 6.362262596301171186e-05 4.429780032738952300e-06 7.155516702215885871e+00 9.287120412937600378e+00 6.893957906405719704e+00 5.699376788451008480e+00 -1.706728513973697545e+03
7.300000000000000000e+01 4.129676657155361146e-04 5.348164471887451103e-05 4.491338455977403451e-05 2.020711092924597856e-06 6.178740301747236412e-05 4.873687276410719109e-06 7.209604638617824079e+00 9.312454535189788274e+00 7.351136292778901904e+00 5.989845634028754695e+00 -1.704200078135964532e+03
7.400000000000000000e+01 3.943151129855250784e-04 5.583442913095523194e-05 4.218667431379801509e-05 1.975249577717372436e-06 5.901945693514315685e-05 5.064513582759316646e-06 7.033347804540037274e+00 8.820329236693591923e+00 6.738447094819022709e+00 6.398728896223044416e+00 -1.705345776564323842e+03
7.500000000000000000e+01 4.084458070678522292e-04 5.680650212538224629e-05 3.982725038647602156e-05 1.965767112904862863e-06 5.846582123568361343e-05 4.818308081984941854e-06 7.275565340278204118e+00 8.451934393603565354e+00 6.784171682142227766e+00 6.348730564856056802e+00 -1.703862421034344379e+03
7.600000000000000000e+01 4.149039492789394126e-04 6.413534939182361416e-05 3.920780922145330024e-05 1.908414145144284203e-06 5.912600709516529194e-05 4.817451416564821881e-06 7.530696629215821503e+00 9.107864140594866598e+00 6.820426995155464134e+00 6.693603955122497062e+00 -1.706031208406612677e+03
7.700000000000000000e+01 3.991025251961463670e-04 6.421462877301471230e-05 4.083362184261474779e-05 2.073944704335372655e-06 6.099815933036328261e-05 4.584794848268283788e-06 7.675851138882037183e+00 8.964629980835269407e+00 6.710875946137546677e+00 6.623738112590878302e+00 -1.706959860207919974e+03
7.800000000000000000e+01 3.645060702318864512e-04 6.677147169207110539e-05 3.957306957738844917e-05 2.162356895762289691e-06 6.204904539110338041e-05 4.601946632068411995e-06 7.539751761043532952e+00 8.484299731162153080e+00 6.608446011740720216e+00 6.832847897659535263e+00 -1.708955559657142658e+03
